customer_id,name,months_as_customer,age,country,street_addrees,city,state,state_code,insured_zip,email_address,phone_number,insured_sex,national_id,creditcard_number,creditcard_type,creditcard_exp,creditcard_cvv,insured_education_level,insured_hobbies,insured_relationship,insured_occupation,marital_status,customer_lifetime_value,no_of_policies,no_of_closed_complaints,no_of_communications,no_of_complaints,no_of_open_complaints
AD9HSHX,Amelia Winslow,235,42,US,1655 Beacon Street,Brookline,Massachusetts,MA,462283,bandertonej@goo.ne.jp,413-412-6547,FEMALE,706-03-2182,4.11E+15,VISA,22-Mar,5423,Masters,dancing,other-relative,exec-managerial,Divorced,2858.287371,1,0,8,7,3
PMLX6SM,Armando Clayton,447,61,US,20055 Haggerty Road,Northville,Michigan,MI,615561,aeverisspe@joomla.org,608-218-7598,FEMALE,215-02-8472,4.11E+15,VISA,22-Jul,6295,High School,skydiving,other-relative,exec-managerial,Married,5075.420953,3,2,9,0,0
2OFHGKP,Lois Reeder,60,23,US,12442 W Ken Caryl Ave,Littleton,Colorado,CO,432220,mbewshawdk@timesonline.co.uk,702-497-0367,MALE,385-65-7820,4.11E+15,VISA,20-Sep,5606,MD,reading,wife,protective-serv,Divorced,5935.572179,8,0,4,1,0
R0SY2VO,Justina Watson,121,34,US,1437 E. Gage Avenue,Los Angeles,California,CA,464652,nbesqueph@yandex.ru,952-963-8176,FEMALE,521-13-0320,3.00E+13,Diners Club,23-Apr,4662,MD,bungie-jumping,wife,armed-forces,Married,3193.817363,1,0,0,5,0
I5V48WO,Ernest Robinson,180,38,US,101 E. Main St,St. Charles,Illinois,IL,476685,kbilhamij@va.gov,336-298-4738,FEMALE,747-09-7762,3.70E+14,American Express,19-Sep,1179,College,board-games,not-in-family,machine-op-inspct,Married,7605.637524,1,0,2,8,1
E4W5D1N,Rodney Demers,473,58,US,11330 51st Ave NW,Gig Harbor,Washington,WA,458733,gmissendeneq@delicious.com,716-971-6496,FEMALE,496-64-0786,3.70E+14,American Express,18-Jun,2793,MD,movies,other-relative,transport-moving,Single,5926.729379,5,0,2,4,5
DRAKI6L,Cindy Oneil,70,26,US,10585 W. Indian School Rd,Avondale,Arizona,AZ,619884,imathewfj@hugedomains.com,240-533-2378,MALE,581-91-7471,3.09E+15,JCB,19-Jul,1128,College,hiking,own-child,machine-op-inspct,Single,4880.713626,1,1,0,7,0
RBIL8BJ,Marjorie Conger,140,31,US,12850 State Rd 23,Granger,Indiana,IN,470610,lpalluschek2g@ftc.gov,318-142-7162,MALE,438-10-2387,4.11E+15,VISA,19-Nov,3270,High School,reading,unmarried,machine-op-inspct,Divorced,13869.92705,2,0,7,6,0
IZQ37TU,Lucille Mcglothin,160,37,US,221 Main Street,Huntington Beach,California,CA,472135,fkincaderh@ow.ly,718-715-5877,FEMALE,409-67-9193,3.00E+13,Diners Club,20-Apr,8372,MD,yachting,other-relative,craft-repair,Married,3207.468733,1,0,3,3,0
CZ7XU5M,John Farmer,196,39,US,21 North Park Ave,Rockville Center,New York,NY,477670,hdanaher7@rakuten.co.jp,817-205-8994,FEMALE,289-93-9530,3.70E+14,American Express,23-Dec,7608,High School,camping,own-child,handlers-cleaners,Single,5264.361755,7,0,7,9,3
U1IE611,Paul Madry,460,62,US,21365 SW Baler Way,Sherwood,Oregon,OR,618845,amulderrigj7@usa.gov,754-178-3326,MALE,182-36-3850,3.00E+13,Diners Club,22-Mar,1589,JD,bungie-jumping,own-child,other-service,Married,5278.183759,3,1,8,8,0
86X619E,Roberto Guevara,217,41,US,110 Trinity Point Drive,Washington Township,Pennsylvania,PA,442479,dbiglinnw@google.com.br,502-725-3955,FEMALE,650-70-0577,3.09E+15,JCB,19-Dec,1700,Associate,skydiving,own-child,machine-op-inspct,Single,5521.542577,9,1,4,2,0
4VVFIBU,Irma Bollinger,370,55,US,1410 East Roseville Parkway,Roseville,California,CA,443920,hhallward1a@vimeo.com,480-949-5817,MALE,842-77-3741,4.11E+15,VISA,21-Jun,7651,High School,paintball,other-relative,prof-specialty,Single,3122.984111,1,0,0,8,0
9RXH7K3,Christopher Golden,413,55,US,1235 East Higgins Road,Schaumburg,Illinois,IL,453148,cwimpeneyim@hhs.gov,619-949-9285,MALE,861-80-1036,6.01E+15,Discover,20-Oct,1653,MD,chess,own-child,priv-house-serv,Married,2422.194555,1,0,4,5,1
EFS311Q,Robert Ayala,237,40,US,18931 Bothell Way NE,Bothell,Washington,WA,434733,kmcskeaganlj@moonfruit.com,202-322-1378,MALE,510-69-9056,3.00E+13,Diners Club,22-Sep,3587,College,kayaking,husband,craft-repair,Single,5064.127663,6,2,0,1,1
ENH9DN6,Rhonda Leflore,8,35,US,18425 NW West Union Rd,Portland,Oregon,OR,613982,rzanuttik9@sciencedirect.com,757-302-6643,MALE,250-16-2811,6.01E+15,Discover,21-Dec,7851,Masters,polo,own-child,sales,Married,7712.436971,5,2,2,6,0
5881TJK,Amber Kwon,257,43,US,1677 N. Farwell Street,Milwaukee,Wisconsin,WI,436984,lbalentyneh6@blogtalkradio.com,212-978-4291,MALE,357-07-2003,3.00E+13,Diners Club,19-Sep,2811,High School,golf,own-child,prof-specialty,Married,6747.524275,2,0,7,3,3
CWCCFO0,Jeffrey Ramos,202,34,US,1050 Park Manor Blvd,Pittsburgh,Pennsylvania,PA,607730,gpyrahq8@newsvine.com,803-807-8652,MALE,496-10-6328,6.01E+15,Discover,18-Mar,916,JD,chess,not-in-family,exec-managerial,Divorced,9175.171899,6,2,7,1,2
HAH2NX2,Ricardo Shepherd,224,40,US,100 Wall Street,New York,New York,NY,609837,bbampkin2k@sciencedaily.com,706-901-4614,FEMALE,454-94-4423,3.70E+14,American Express,19-Dec,3310,JD,kayaking,not-in-family,sales,Married,2953.617963,1,0,3,6,2
QG7UUUW,Russell Rogers,241,45,US,15 S. PROSPECT AVE.,Park Ridge,Illinois,IL,432211,chayloria@bandcamp.com,203-751-1286,FEMALE,403-49-3264,3.70E+14,American Express,23-Jun,8195,PhD,basketball,unmarried,machine-op-inspct,Married,7582.113842,2,1,6,2,0
3YJLGWV,Angela Sica,64,25,US,1351 West Davis,Conroe,Texas,TX,473328,ofackneydj@ed.gov,619-475-9046,MALE,118-80-0541,3.00E+13,Diners Club,19-Sep,1398,Masters,video-games,husband,prof-specialty,Single,4077.501164,1,0,8,0,0
ZSLG2NA,Jose Verkamp,166,37,US,1613 Southlake Mall Dr.,Merrillville,Indiana,IN,610393,ysamwaye9@ycombinator.com,616-575-4860,MALE,698-29-1950,4.11E+15,VISA,20-Nov,9849,JD,reading,husband,craft-repair,Married,13466.92071,2,0,5,6,0
7PNZUIO,Alice Brown,155,35,US,10831 Foothill Blvd.,Rancho Cucamonga,California,CA,614780,khickissonf@umn.edu,203-873-9558,FEMALE,345-83-3487,3.70E+14,American Express,20-Jun,6295,Associate,yachting,other-relative,adm-clerical,Married,2615.304467,1,0,7,9,0
34Q5621,Judith Tennyson,114,30,US,1663 Branham Ln,San Jose,California,CA,472248,ovincentqy@weibo.com,510-341-0904,MALE,270-91-6841,3.70E+14,American Express,21-Apr,582,High School,video-games,wife,farming-fishing,Married,26346.08582,2,1,9,3,0
I69MOC9,Eric Gottlieb,149,37,US,1000 Universal Studios Plaza,Orlando,Florida,FL,603381,hspanswickn7@facebook.com,510-846-8423,MALE,773-16-6901,3.00E+13,Diners Club,21-Jun,1541,PhD,yachting,own-child,prof-specialty,Married,18474.71111,2,1,3,6,0
41S7DHV,Julian Huhman,147,33,US,1000 North Bristol St.,Newport Beach,California,CA,479224,cfeyerf1@taobao.com,817-187-2614,MALE,498-76-5490,4.11E+15,VISA,21-Mar,3893,High School,reading,not-in-family,craft-repair,Married,2619.865336,1,0,5,6,0
ZNK0960,Albert Reed,62,28,US,2195 E. Shaw Ave,Clovis,California,CA,430141,rstirgessm4@dailymail.co.uk,702-303-6581,FEMALE,581-09-2653,6.01E+15,Discover,20-Nov,6249,Masters,camping,unmarried,protective-serv,Married,3187.351993,1,0,9,8,0
LQHIANE,Everett Gray,289,49,US,11601 Canyon Rd East,Puyallup,Washington,WA,620757,bprestie97@comsenz.com,760-277-6466,FEMALE,363-56-1362,3.00E+13,Diners Club,21-Mar,2218,JD,golf,unmarried,priv-house-serv,Single,2420.711888,1,0,8,1,0
WDUVBZV,Jennifer Burgin,431,54,US,19914 Park Row,Katy,Texas,TX,615901,bprestie97@comsenz.com,253-646-2360,FEMALE,558-25-0237,6.01E+15,Discover,19-Aug,9558,MD,bungie-jumping,unmarried,craft-repair,Single,2420.711888,1,0,8,1,0
NSFP6YE,Cynthia Yamamoto,199,37,US,228 East Plaza St.,Eagle,Idaho,ID,474615,bprestie97@comsenz.com,754-482-0806,MALE,679-44-8798,3.70E+14,American Express,23-Mar,8382,JD,video-games,wife,tech-support,Single,2420.711888,1,0,8,1,0
W6Q9BDN,Steven Powell,79,26,US,15600 Hesperian Boulevard,San Lorenzo,California,CA,456446,llashmarfk@netvibes.com,847-682-1704,MALE,845-87-8528,6.01E+15,Discover,19-Oct,7256,Associate,kayaking,not-in-family,tech-support,Divorced,12036.62051,2,0,1,7,0
GOM326R,Bernadine Emmons,116,34,US,1200 N Nappanee St,Elkhart,Indiana,IN,470577,llashmarfk@netvibes.com,814-395-7862,MALE,378-43-7324,6.01E+15,Discover,22-Jun,3752,Associate,chess,unmarried,transport-moving,Divorced,12036.62051,2,0,1,7,0
IZ8J5HW,Jerry Barton,37,23,US,189 Boston Post Road West,Marlborough,Massachusetts,MA,441648,llashmarfk@netvibes.com,225-464-4392,FEMALE,840-80-4920,3.70E+14,American Express,22-Jul,8372,College,hiking,husband,prof-specialty,Divorced,12036.62051,2,0,1,7,0
SQ903J0,Gail Shortino,106,30,US,1121 East Springcreek Parkway,Plano,Texas,TX,433782,dmattiellob6@mtv.com,262-570-2381,FEMALE,471-16-7717,3.09E+15,JCB,23-Oct,4439,PhD,reading,own-child,transport-moving,Single,3435.25008,1,0,5,1,0
NJXB3EG,Carrie Magnanti,269,44,US,17308 Ventura Blvd.,Encino,California,CA,468104,dmattiellob6@mtv.com,432-175-5363,MALE,586-24-6396,6.01E+15,Discover,23-Mar,2410,JD,reading,unmarried,priv-house-serv,Single,3435.25008,1,0,5,1,0
HYHNVNW,John Cartwright,265,40,US,14175 W Indian Sch R,Goodyear,Arizona,AZ,459407,dmattiellob6@mtv.com,339-515-8073,FEMALE,558-99-4232,4.11E+15,VISA,20-Oct,2172,MD,yachting,husband,protective-serv,Single,3435.25008,1,0,5,1,0
FI00NA6,Vincent Garcia,163,33,US,2159 West Belmont Ave.,Chicago,Illinois,IL,472573,wgrogonaop@woothemes.com,413-719-8225,FEMALE,779-30-5919,3.00E+13,Diners Club,23-Apr,9604,Associate,polo,husband,other-service,Married,19435.62924,3,0,9,3,0
CLSCYS5,Tara Stamps,355,47,US,22000 Salamo Rd.,West Linn,Oregon,OR,433473,wgrogonaop@woothemes.com,206-482-4466,MALE,188-37-3206,3.00E+13,Diners Club,20-Oct,8209,College,kayaking,husband,other-service,Married,19435.62924,3,0,9,3,0
G8S1ZUK,Victor Considine,175,34,US,1767 King St,Alexandria,Virginia,VA,446326,wgrogonaop@woothemes.com,253-748-8017,FEMALE,487-90-9267,4.11E+15,VISA,22-Aug,4442,PhD,dancing,other-relative,protective-serv,Married,19435.62924,3,0,9,3,0
XAXTD8Z,Margie Campbell,192,35,US,14620 SE McLoughlin Blvd,Milwaukie,Oregon,OR,435481,eheissgd@mit.edu,240-971-1486,FEMALE,108-87-3977,3.70E+14,American Express,19-Dec,3846,Masters,movies,wife,exec-managerial,Single,9209.41167,7,2,8,3,0
CZZT7KF,Evelyn Gaver,430,59,US,1725 74th St,West Des Moines,Iowa,IA,477310,eheissgd@mit.edu,405-642-0665,MALE,339-46-1612,3.70E+14,American Express,22-Nov,4539,MD,bungie-jumping,own-child,other-service,Single,9209.41167,7,2,8,3,0
J4LN841,Donald Holsopple,91,27,US,1201 North Main St.,Suffolk,Virginia,VA,609930,nhildrew9w@china.com.cn,973-468-4287,FEMALE,460-08-3612,3.09E+15,JCB,22-Sep,7897,JD,polo,husband,farming-fishing,Married,2580.849899,1,0,4,7,0
3VLO71S,Gordon Roy,217,39,US,1641 S Stapley Rd,Mesa,Arizona,AZ,603993,nhildrew9w@china.com.cn,215-187-1143,MALE,862-17-4281,3.00E+13,Diners Club,23-Oct,8085,College,basketball,not-in-family,armed-forces,Married,2580.849899,1,0,4,7,0
SZXTKGV,Michael Loyd,223,40,US,2225 Louisiana,Houston,Texas,TX,437818,nhildrew9w@china.com.cn,803-523-8855,FEMALE,399-77-7133,3.00E+13,Diners Club,18-May,4773,JD,movies,husband,priv-house-serv,Married,2580.849899,1,0,4,7,0
L21W5N5,Carlos Kimbrel,195,39,US,22855 NE Park Lane,Wood Village,Oregon,OR,478423,sbeaulyca@unc.edu,303-452-6619,MALE,509-70-6148,4.11E+15,VISA,18-May,5749,PhD,movies,not-in-family,machine-op-inspct,Married,2547.370551,1,0,2,3,1
W2BODUD,Lisa Burriss,22,26,US,1187 Polaris Parkway,Columbus,Ohio,OH,467784,mdisleyo0@nyu.edu,602-679-3959,MALE,626-34-0621,5.50E+15,Master Card,23-Aug,7426,PhD,skydiving,not-in-family,craft-repair,Married,8500.909417,7,1,9,6,0
4F7LG20,Richard Sanders,439,56,US,1501 State Hwy 7,Hopkins,Minnesota,MN,606714,cyounghusbanden@chronoengine.com,479-345-6747,FEMALE,186-84-7760,6.01E+15,Discover,20-Nov,547,PhD,chess,unmarried,prof-specialty,Single,22986.15393,2,0,6,7,0
6MWK19P,Gloria Lorenz,94,32,US,18320 NW Evergreen Pkwy,Aloha,Oregon,OR,464691,spatkinn8@usda.gov,916-972-5939,FEMALE,315-25-4206,6.01E+15,Discover,23-May,2186,Masters,hiking,own-child,adm-clerical,Single,2453.336242,1,0,8,0,2
M68CQLY,Lazaro Durrant,11,39,US,205 N. McDowell,Petaluma,California,CA,431683,aflacknellhd@shop-pro.jp,561-154-9498,MALE,614-93-5357,3.09E+15,JCB,19-Jun,7643,PhD,yachting,husband,other-service,Married,5257.241485,4,0,6,2,0
ZQJ2P78,Joe Milam,151,36,US,22815 Victory Blvd.,West Hills,California,CA,431725,rtoffaniniea@abc.net.au,225-758-8541,FEMALE,545-40-8781,3.70E+14,American Express,18-Sep,902,MD,kayaking,own-child,adm-clerical,Divorced,5580.960642,9,0,2,3,0
1718D9T,Beverly Green,154,34,US,17396 W. Center Road,Omaha,Nebraska,NE,609216,wdunnett2t@apache.org,202-469-9515,MALE,209-46-1598,4.11E+15,VISA,22-May,556,PhD,base-jumping,other-relative,machine-op-inspct,Single,2332.095228,1,0,6,8,0
E9NMTT0,Sherman Kuster,245,44,US,10 Michael Drive,Farmingdale,New York,NY,452787,ddeedm@auda.org.au,806-655-7539,MALE,342-47-9080,3.09E+15,JCB,23-Apr,1133,JD,basketball,husband,handlers-cleaners,Married,3309.248219,1,0,2,6,0
6ZU9HHB,Elizabeth Adams,119,32,US,2045 SE Division St,Portland,Oregon,OR,468767,mnealypm@usnews.com,901-313-6753,MALE,758-89-3942,6.01E+15,Discover,23-Apr,5886,High School,bungie-jumping,unmarried,armed-forces,Married,9613.613215,2,2,9,3,1
R6BH3V4,Jose Mccoy,215,42,US,139 Flatbush Ave,Brooklyn,New York,NY,435489,mmccarrickro@tuttocitta.it,816-791-4976,MALE,756-63-8570,3.00E+13,Diners Club,21-Nov,4355,JD,video-games,own-child,transport-moving,Married,5365.975978,5,0,2,8,2
RO9EDHX,David Baxter,295,42,US,16510 Mequon Rd.,Germantown,Wisconsin,WI,450149,lbousteadon@engadget.com,504-922-3906,MALE,237-06-6254,3.09E+15,JCB,20-Jul,4662,PhD,chess,not-in-family,sales,Divorced,4428.031583,1,2,3,6,0
3GKWS7N,Micheal Glaze,254,39,US,2201-2219 South Broad Street,Philadelphia,Pennsylvania,PA,458364,vcokeriy@shareasale.com,714-366-8325,FEMALE,765-39-9243,6.01E+15,Discover,20-May,6684,MD,chess,other-relative,exec-managerial,Married,3433.82408,1,2,4,3,0
N6AEL9P,Monique Rojas,107,31,US,2 Camino Sobrante,Orinda,California,CA,476458,goshee22@squidoo.com,601-837-1811,FEMALE,693-13-5802,6.01E+15,Discover,18-May,2326,High School,paintball,not-in-family,tech-support,Divorced,3600.934326,1,2,0,6,0
X84XZ81,Mary Rigdon,478,64,US,21 Neverland Drive,Lewis,Ohio,OH,602433,ppotegi@cnet.com,608-176-4288,FEMALE,524-40-9021,3.00E+13,Diners Club,22-Dec,9587,Associate,reading,unmarried,adm-clerical,Married,9320.240511,5,1,4,2,0
Z9B3QBD,Vera Masin,128,30,US,1783 Eatonton Rd,Madison,Georgia,GA,478575,amuehleo5@ehow.com,317-711-0838,MALE,521-39-4744,6.01E+15,Discover,19-Oct,8983,MD,movies,own-child,machine-op-inspct,Single,24723.18311,2,0,5,8,0
BOE53J2,Benjamin Johnson,338,49,US,137 West Wood Street,Palatine,Illinois,IL,449718,ptythertonix@phoca.cz,901-477-5530,MALE,872-20-5287,4.11E+15,VISA,21-Nov,9849,MD,kayaking,own-child,other-service,Single,3339.764873,1,2,5,7,0
3PKSREC,Geraldine Oharra,271,42,US,1205 Campbell,Baker City,Oregon,OR,463181,bmacginlayh3@sciencedirect.com,920-322-7036,FEMALE,707-89-4505,6.01E+15,Discover,22-Sep,9099,Associate,sleeping,own-child,prof-specialty,Married,2127.92357,1,0,7,2,1
6PN411F,Frederick Ware,222,41,US,1202 E. Wishkah St.,Aberdeen,Washington,WA,441992,lelegood1k@smugmug.com,713-120-8309,FEMALE,263-51-8941,3.00E+13,Diners Club,23-May,1128,MD,cross-fit,not-in-family,armed-forces,Married,8255.76385,4,0,7,3,0
QJM7KAC,Rose Diminich,199,41,US,12742 Ocean Gateway,Ocean City,Maryland,MD,452597,sbeaulyca@unc.edu,309-480-1316,FEMALE,468-29-1624,4.11E+15,VISA,23-Dec,7477,Associate,paintball,husband,sales,Married,2547.370551,1,0,2,3,1
I5A3SP7,Hattie Guyer,215,37,US,210 Sixth Avenue,Pittsburgh,Pennsylvania,PA,614417,hdevenny6z@facebook.com,347-936-6801,FEMALE,139-44-4256,3.09E+15,JCB,22-Sep,5630,College,golf,not-in-family,transport-moving,Divorced,5610.96434,3,2,7,2,0
QJWU1H2,Roy Doyle,192,40,US,2200 South Bell Street,Amarillo,Texas,TX,472895,hdevenny6z@facebook.com,202-773-8243,FEMALE,606-88-2997,4.11E+15,VISA,22-Apr,2187,Associate,yachting,wife,sales,Divorced,5610.96434,3,2,7,2,0
2MZW5OU,Twana Geno,120,35,US,1650 US Hwy 98,Daphne,Alabama,AL,475847,hdevenny6z@facebook.com,505-707-5415,FEMALE,593-28-3902,4.11E+15,VISA,19-Aug,3768,High School,bungie-jumping,other-relative,transport-moving,Divorced,5610.96434,3,2,7,2,0
TVIIJNZ,Richard Mccaskill,270,45,US,1350 N. Silverbell Rd.,Tucson,Arizona,AZ,476978,ccawoodad@nbcnews.com,585-209-5806,FEMALE,557-20-0025,3.09E+15,JCB,23-May,5708,College,golf,husband,handlers-cleaners,Divorced,8869.619888,9,3,3,5,0
7KTFZN7,Cathleen Anderson,319,47,US,11405 SW Beaverton-Hillsdale Hwy,Portland,Oregon,OR,600648,ccawoodad@nbcnews.com,337-470-6296,MALE,888-35-5389,6.01E+15,Discover,22-Mar,4324,College,dancing,not-in-family,transport-moving,Divorced,8869.619888,9,3,3,5,0
YYQM4CY,Elvira Brooks,194,39,US,2013 University Ave.,Oxford,Mississippi,MS,608335,ccawoodad@nbcnews.com,212-793-4883,FEMALE,654-46-7794,4.11E+15,VISA,19-Jun,4324,JD,kayaking,wife,other-service,Divorced,8869.619888,9,3,3,5,0
2X6YWDD,Laura Miller,227,38,US,1001 E Wooster St,Bowling Green,Ohio,OH,471600,amcilvorayk1@ebay.co.uk,612-471-5387,FEMALE,282-34-9546,4.11E+15,VISA,20-Sep,8827,PhD,polo,unmarried,handlers-cleaners,Divorced,4428.038374,8,1,8,0,0
F75B0GK,Larry Myers,137,31,US,1000 H St NW,Washington,Washington DC,DC,441175,amcilvorayk1@ebay.co.uk,302-620-5977,MALE,778-87-1894,4.11E+15,VISA,21-Nov,6684,High School,paintball,husband,exec-managerial,Divorced,4428.038374,8,1,8,0,0
L5ADGCB,Amy West,244,40,US,200 Public Square,Cleveland,Ohio,OH,603123,teymorcu@dropbox.com,724-252-0952,FEMALE,742-76-7665,4.11E+15,VISA,19-Jun,3244,Masters,video-games,wife,exec-managerial,Single,2300.334605,1,0,2,3,1
IR07ML8,Angela Thornton,78,29,US,1276 Town Center Dr,Eagan,Minnesota,MN,457767,swinstone4n@bloglines.com,859-124-9405,MALE,652-58-7935,3.09E+15,JCB,20-Aug,1663,Masters,bungie-jumping,other-relative,other-service,Single,14932.09982,2,0,3,8,0
BZJ0DTH,Denise Strait,200,35,US,180 Goodman Road East,Southhaven,Mississippi,MS,618498,swinstone4n@bloglines.com,361-379-9525,MALE,881-23-9897,6.01E+15,Discover,20-Sep,7073,High School,video-games,wife,exec-managerial,Single,14932.09982,2,0,3,8,0
7UEONVX,Donald November,284,48,US,18322 South Governors Highway,Homewood,Illinois,IL,605486,swinstone4n@bloglines.com,203-266-5254,MALE,896-17-5668,3.09E+15,JCB,22-Oct,1043,Masters,movies,not-in-family,prof-specialty,Single,14932.09982,2,0,3,8,0
L0270UO,Eula Hoffman,275,41,US,206 Lake Drive,Covington,Louisiana,LA,617970,klergangs@list-manage.com,763-738-8516,MALE,112-21-5525,3.70E+14,American Express,20-Apr,3536,High School,board-games,own-child,transport-moving,Married,7228.993348,3,0,0,8,0
A1BARB6,Daniel Morrissey,153,34,US,11 Webb Place,Dover,New Hampshire,NH,432934,klergangs@list-manage.com,321-470-8982,FEMALE,402-05-2657,3.70E+14,American Express,21-Jun,2971,Associate,yachting,husband,priv-house-serv,Married,7228.993348,3,0,0,8,0
6GP25SE,Sherri Williams,134,32,US,1 Camino Sobrante,Orinda,California,CA,456762,cklaggemanrk@hubpages.com,917-691-1579,FEMALE,138-55-3770,3.09E+15,JCB,21-Nov,4511,MD,yachting,own-child,other-service,Single,2321.88367,1,1,4,9,0
EQBCGVN,John Mcatee,31,36,US,10112 N.E. HALSEY Street,Portland,Oregon,OR,601748,cklaggemanrk@hubpages.com,310-839-4760,FEMALE,788-97-8278,3.09E+15,JCB,21-Sep,2971,College,kayaking,not-in-family,prof-specialty,Single,2321.88367,1,1,4,9,0
TRS476V,Johnny Lawson,41,25,US,17245 17th Street,Tustin,California,CA,607763,bcalverat@blinklist.com,816-697-8468,FEMALE,696-07-9244,3.70E+14,American Express,21-Jul,6026,College,exercise,not-in-family,exec-managerial,Single,35203.57475,2,2,0,6,0
DLU6ZU0,Robert Argubright,127,29,US,1501 Connecticut Avenue NW,Washington,Washington DC,DC,436973,bcalverat@blinklist.com,651-840-1606,FEMALE,472-98-5767,3.70E+14,American Express,21-Jul,4180,High School,board-games,own-child,sales,Single,35203.57475,2,2,0,6,0
6JVI6DW,Luis Miller,61,23,US,11150 S. Twenty Mile Rd.,Parker,Colorado,CO,471300,bcalverat@blinklist.com,608-697-5681,FEMALE,671-29-3758,6.01E+15,Discover,23-Jun,3131,Associate,exercise,own-child,tech-support,Single,35203.57475,2,2,0,6,0
XBD9VMU,Mike Hogston,207,42,US,201 Spear Street,San Francisco,California,CA,453277,bpechtem@mapquest.com,405-795-2316,MALE,728-26-2984,3.09E+15,JCB,20-Dec,5570,PhD,yachting,own-child,farming-fishing,Single,60556.19213,2,1,9,5,0
6O16STH,Cecil Spencer,219,43,US,1942 Middle Country Road,Centereach,New York,NY,465100,bpechtem@mapquest.com,860-582-5202,FEMALE,795-32-8121,3.70E+14,American Express,21-Aug,4511,MD,exercise,not-in-family,exec-managerial,Single,60556.19213,2,1,9,5,0
SKWH1C2,Jeannette Lucas,271,42,US,120 Sand Island Access Road #4,Honolulu,Hawaii,HI,603248,rsicely79@dell.com,330-417-0444,FEMALE,457-63-3177,3.00E+13,Diners Club,22-Oct,4873,High School,hiking,not-in-family,machine-op-inspct,Married,10856.17638,5,0,6,0,0
5I084GA,Pedro Guzman,80,25,US,13170 Central Ave SE,Albuquerque,New Mexico,NM,601112,rsicely79@dell.com,414-644-7265,FEMALE,118-86-8848,4.11E+15,VISA,19-Sep,5519,PhD,exercise,husband,armed-forces,Married,10856.17638,5,0,6,0,0
HJVO95X,Nora Ricks,325,47,US,10105 224th St E,Graham,Washington,WA,438830,rsicely79@dell.com,704-955-5856,FEMALE,309-69-7202,3.70E+14,American Express,20-Nov,4074,Associate,hiking,not-in-family,protective-serv,Married,10856.17638,5,0,6,0,0
